@relation accelerometer_features

@attribute fft_coef_00 numeric
@attribute fft_coef_01 numeric
@attribute fft_coef_02 numeric
@attribute fft_coef_03 numeric
@attribute fft_coef_04 numeric
@attribute fft_coef_05 numeric
@attribute fft_coef_06 numeric
@attribute fft_coef_07 numeric
@attribute fft_coef_08 numeric
@attribute fft_coef_09 numeric
@attribute fft_coef_10 numeric
@attribute fft_coef_11 numeric
@attribute fft_coef_12 numeric
@attribute fft_coef_13 numeric
@attribute fft_coef_14 numeric
@attribute fft_coef_15 numeric
@attribute fft_coef_16 numeric
@attribute fft_coef_17 numeric
@attribute fft_coef_18 numeric
@attribute fft_coef_19 numeric
@attribute fft_coef_20 numeric
@attribute fft_coef_21 numeric
@attribute fft_coef_22 numeric
@attribute fft_coef_23 numeric
@attribute fft_coef_24 numeric
@attribute fft_coef_25 numeric
@attribute fft_coef_26 numeric
@attribute fft_coef_27 numeric
@attribute fft_coef_28 numeric
@attribute fft_coef_29 numeric
@attribute fft_coef_30 numeric
@attribute fft_coef_31 numeric
@attribute fft_coef_32 numeric
@attribute fft_coef_33 numeric
@attribute fft_coef_34 numeric
@attribute fft_coef_35 numeric
@attribute fft_coef_36 numeric
@attribute fft_coef_37 numeric
@attribute fft_coef_38 numeric
@attribute fft_coef_39 numeric
@attribute fft_coef_40 numeric
@attribute fft_coef_41 numeric
@attribute fft_coef_42 numeric
@attribute fft_coef_43 numeric
@attribute fft_coef_44 numeric
@attribute fft_coef_45 numeric
@attribute fft_coef_46 numeric
@attribute fft_coef_47 numeric
@attribute fft_coef_48 numeric
@attribute fft_coef_49 numeric
@attribute fft_coef_50 numeric
@attribute fft_coef_51 numeric
@attribute fft_coef_52 numeric
@attribute fft_coef_53 numeric
@attribute fft_coef_54 numeric
@attribute fft_coef_55 numeric
@attribute fft_coef_56 numeric
@attribute fft_coef_57 numeric
@attribute fft_coef_58 numeric
@attribute fft_coef_59 numeric
@attribute fft_coef_60 numeric
@attribute fft_coef_61 numeric
@attribute fft_coef_62 numeric
@attribute fft_coef_63 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
428.495057,77.107742,84.09968,84.403048,25.653131,55.309915,21.695131,8.827545,16.007139,11.155064,5.920594,8.877804,8.458842,7.78543,4.652209,2.950101,2.510767,1.925977,1.605847,2.404389,1.384883,1.380932,1.601584,1.061127,1.357492,1.752397,1.022536,0.665497,0.861296,0.691641,0.280364,0.442196,0.48903,0.442196,0.280364,0.691641,0.861296,0.665497,1.022536,1.752397,1.357492,1.061127,1.601584,1.380932,1.384883,2.404389,1.605847,1.925977,2.510767,2.950101,4.652209,7.78543,8.458842,8.877804,5.920594,11.155064,16.007139,8.827545,21.695131,55.309915,25.653131,84.403048,84.09968,77.107742,16.399628,walking
170.006548,47.680164,39.468247,24.169052,17.547178,1.268976,4.700173,3.922976,3.1257,3.0739,3.801703,4.66865,2.836427,4.179591,4.907645,3.638572,3.241044,3.013739,3.087988,2.749161,2.656994,2.972325,2.876716,2.783547,2.6565,2.555981,2.545735,2.451188,2.336603,2.444203,2.381322,2.45101,2.259722,2.45101,2.381322,2.444203,2.336603,2.451188,2.545735,2.555981,2.6565,2.783547,2.876716,2.972325,2.656994,2.749161,3.087988,3.013739,3.241044,3.638572,4.907645,4.179591,2.836427,4.66865,3.801703,3.0739,3.1257,3.922976,4.700173,1.268976,17.547178,24.169052,39.468247,47.680164,6.282828,walking
338.810486,62.529768,58.121824,60.926412,17.921372,9.645047,8.883582,3.52464,6.108803,1.470438,1.567531,3.22856,1.839399,1.749365,1.643353,1.706163,1.439189,2.237702,1.477582,1.217389,1.991578,1.363092,1.732803,1.604399,1.314311,1.333919,1.493611,1.344449,1.389094,1.451689,1.418405,1.372927,1.269683,1.372927,1.418405,1.451689,1.389094,1.344449,1.493611,1.333919,1.314311,1.604399,1.732803,1.363092,1.991578,1.217389,1.477582,2.237702,1.439189,1.706163,1.643353,1.749365,1.839399,3.22856,1.567531,1.470438,6.108803,3.52464,8.883582,9.645047,17.921372,60.926412,58.121824,62.529768,11.142771,walking
345.87325,20.933866,37.890865,7.171186,25.598918,28.642539,13.437076,0.382627,4.504014,1.090295,2.617039,3.765035,3.391146,3.484459,3.475847,3.734822,3.055496,2.725462,2.220126,2.157582,2.166183,2.29027,2.202961,2.114283,2.038994,2.025646,2.043196,2.007142,1.915124,1.941283,1.926991,1.963796,1.926608,1.963796,1.926991,1.941283,1.915124,2.007142,2.043196,2.025646,2.038994,2.114283,2.202961,2.29027,2.166183,2.157582,2.220126,2.725462,3.055496,3.734822,3.475847,3.484459,3.391146,3.765035,2.617039,1.090295,4.504014,0.382627,13.437076,28.642539,25.598918,7.171186,37.890865,20.933866,7.750639,walking
488.319743,116.903338,60.894728,37.704873,40.321488,33.458436,15.197528,14.921437,20.253457,8.892449,8.226407,7.133467,2.237182,6.148889,4.319482,4.039962,4.849235,4.495895,3.898594,3.806547,3.614493,3.247644,3.431943,3.408503,3.038898,3.233798,3.105935,3.104381,3.061351,2.94212,2.975867,2.762274,2.892903,2.762274,2.975867,2.94212,3.061351,3.104381,3.105935,3.233798,3.038898,3.408503,3.431943,3.247644,3.614493,3.806547,3.898594,4.495895,4.849235,4.039962,4.319482,6.148889,2.237182,7.133467,8.226407,8.892449,20.253457,14.921437,15.197528,33.458436,40.321488,37.704873,60.894728,116.903338,15.841936,walking
230.789186,77.188134,11.392285,9.191964,17.318863,10.488408,3.953088,5.81334,7.979481,6.946754,4.535534,3.977785,4.140576,3.669557,3.266494,3.358144,3.311499,2.919544,2.756026,2.699314,2.59379,2.407962,2.415474,2.410663,2.406324,2.313206,2.290129,2.290933,2.307294,2.225144,2.228922,2.185722,2.138375,2.185722,2.228922,2.225144,2.307294,2.290933,2.290129,2.313206,2.406324,2.410663,2.415474,2.407962,2.59379,2.699314,2.756026,2.919544,3.311499,3.358144,3.266494,3.669557,4.140576,3.977785,4.535534,6.946754,7.979481,5.81334,3.953088,10.488408,17.318863,9.191964,11.392285,77.188134,6.525241,walking
435.406783,56.680714,40.703805,42.707322,9.903011,11.016881,10.65265,7.997474,8.32229,10.212861,5.26067,5.997225,3.807165,3.948619,2.433319,2.433409,0.75781,0.667424,0.523095,0.84104,0.318727,0.591537,0.161601,0.408913,0.26675,0.1794,0.157442,0.16154,0.051919,0.16431,0.105217,0.083163,0.178946,0.083163,0.105217,0.16431,0.051919,0.16154,0.157442,0.1794,0.26675,0.408913,0.161601,0.591537,0.318727,0.84104,0.523095,0.667424,0.75781,2.433409,2.433319,3.948619,3.807165,5.997225,5.26067,10.212861,8.32229,7.997474,10.65265,11.016881,9.903011,42.707322,40.703805,56.680714,10.848987,walking
481.773372,77.527891,70.815164,68.333228,29.403955,15.941611,17.299709,10.207688,12.078342,16.434358,12.709112,9.397234,6.917174,4.180657,2.684263,3.910229,3.523663,3.797525,3.607256,2.899434,2.657889,2.388014,2.470097,2.50684,2.520091,2.616533,2.560264,2.577431,2.629503,2.634883,2.692752,2.719047,2.731155,2.719047,2.692752,2.634883,2.629503,2.577431,2.560264,2.616533,2.520091,2.50684,2.470097,2.388014,2.657889,2.899434,3.607256,3.797525,3.523663,3.910229,2.684263,4.180657,6.917174,9.397234,12.709112,16.434358,12.078342,10.207688,17.299709,15.941611,29.403955,68.333228,70.815164,77.527891,16.44169,walking
307.354698,69.721325,83.059755,32.400187,55.560632,15.877352,25.131675,17.406247,17.499428,11.974894,12.825164,10.931864,9.98259,9.156879,7.73861,7.285299,7.082016,6.791048,6.265828,6.130916,6.169592,5.828015,5.669329,5.549793,5.470553,5.305502,5.243554,5.139951,5.112089,5.159153,4.988081,5.003935,5.021623,5.003935,4.988081,5.159153,5.112089,5.139951,5.243554,5.305502,5.470553,5.549793,5.669329,5.828015,6.169592,6.130916,6.265828,6.791048,7.082016,7.285299,7.73861,9.156879,9.98259,10.931864,12.825164,11.974894,17.499428,17.406247,25.131675,15.877352,55.560632,32.400187,83.059755,69.721325,12.505211,walking
386.779135,67.313922,78.684297,38.753431,15.195496,25.173478,14.157594,17.932075,3.463533,11.898084,8.441857,7.193316,7.163289,5.621635,5.861341,5.174832,5.849918,4.670993,5.009049,4.988753,4.332422,4.635497,4.335895,4.053594,4.058192,3.871774,3.813558,4.009041,3.725583,3.771113,3.844552,3.644811,3.814656,3.644811,3.844552,3.771113,3.725583,4.009041,3.813558,3.871774,4.058192,4.053594,4.335895,4.635497,4.332422,4.988753,5.009049,4.670993,5.849918,5.174832,5.861341,5.621635,7.163289,7.193316,8.441857,11.898084,3.463533,17.932075,14.157594,25.173478,15.195496,38.753431,78.684297,67.313922,11.272896,walking
421.603351,8.367473,53.551384,41.092863,26.199644,7.999242,20.507255,14.013529,6.760232,4.404168,6.477478,8.578584,7.868122,5.371282,3.772728,2.492235,1.511898,0.685651,0.788564,1.026171,1.276672,1.603773,1.807863,1.662175,1.399973,1.225755,1.031069,1.111054,1.071345,1.120801,1.197517,1.184274,1.271867,1.184274,1.197517,1.120801,1.071345,1.111054,1.031069,1.225755,1.399973,1.662175,1.807863,1.603773,1.276672,1.026171,0.788564,0.685651,1.511898,2.492235,3.772728,5.371282,7.868122,8.578584,6.477478,4.404168,6.760232,14.013529,20.507255,7.999242,26.199644,41.092863,53.551384,8.367473,11.429097,walking
432.956011,75.171233,55.960942,46.671467,56.997664,5.761705,19.259221,11.63919,15.777463,9.547506,5.191024,9.07172,7.101116,4.457871,6.102699,5.005648,4.342887,5.042513,4.48147,4.271984,3.995164,4.203261,3.759072,3.66296,3.686557,3.51391,3.599283,3.380843,3.505145,3.326602,3.477256,3.344667,3.348661,3.344667,3.477256,3.326602,3.505145,3.380843,3.599283,3.51391,3.686557,3.66296,3.759072,4.203261,3.995164,4.271984,4.48147,5.042513,4.342887,5.005648,6.102699,4.457871,7.101116,9.07172,5.191024,9.547506,15.777463,11.63919,19.259221,5.761705,56.997664,46.671467,55.960942,75.171233,11.360496,walking
